[2026-08-11 23:36:06.031 (UTC+0800)] [33mwarn/server[0m	AccessControl: Unconfigured AccessControl. Users have all permissions.
[2026-08-11 15:36:20.079 (UTC)] info/application	[Sensor] Updated distance: 17.856796786122395 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:21.070 (UTC)] info/application	[Sensor] Updated distance: 36.606615902207146 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:22.071 (UTC)] info/application	[Sensor] Updated distance: 32.85296992904179 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:23.073 (UTC)] info/application	[Sensor] Updated distance: 14.37139668146679 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:24.076 (UTC)] info/application	[Sensor] Updated distance: 24.671537380046924 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:25.080 (UTC)] info/application	[Sensor] Updated distance: 6.963651793526323 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:26.072 (UTC)] info/application	[Sensor] Updated distance: 17.883387401645717 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:27.074 (UTC)] info/application	[Sensor] Updated distance: 38.43694458363435 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:28.077 (UTC)] info/application	[Sensor] Updated distance: 7.734778749633011 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:29.079 (UTC)] info/application	[Sensor] Updated distance: 28.994711858683594 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:30.070 (UTC)] info/application	[Sensor] Updated distance: 40.688488844171395 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:31.071 (UTC)] info/application	[Sensor] Updated distance: 31.756887427417972 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:32.072 (UTC)] info/application	[Sensor] Updated distance: 23.55476451923827 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:33.074 (UTC)] info/application	[Sensor] Updated distance: 27.210111398813364 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:34.075 (UTC)] info/application	[Sensor] Updated distance: 38.9322590254863 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:35.077 (UTC)] info/application	[Sensor] Updated distance: 27.3576908304159 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:36.079 (UTC)] info/application	[Sensor] Updated distance: 29.992542138319713 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:37.070 (UTC)] info/application	[Sensor] Updated distance: 47.94461180919065 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:38.072 (UTC)] info/application	[Sensor] Updated distance: 9.230581003814274 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:39.074 (UTC)] info/application	[Sensor] Updated distance: 36.304101728975816 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:40.078 (UTC)] info/application	[Sensor] Updated distance: 46.142989223889536 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:41.071 (UTC)] info/application	[Sensor] Updated distance: 13.99224202893313 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:42.074 (UTC)] info/application	[Sensor] Updated distance: 44.77741405124655 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:43.076 (UTC)] info/application	[Sensor] Updated distance: 13.979424936687305 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:44.079 (UTC)] info/application	[Sensor] Updated distance: 8.63203848462181 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:45.071 (UTC)] info/application	[Sensor] Updated distance: 45.660739173954696 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:46.074 (UTC)] info/application	[Sensor] Updated distance: 19.550455697602803 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:47.077 (UTC)] info/application	[Sensor] Updated distance: 9.780666712569383 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:48.079 (UTC)] info/application	[Sensor] Updated distance: 33.43452847722663 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:49.072 (UTC)] info/application	[Sensor] Updated distance: 20.025379383017018 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:50.073 (UTC)] info/application	[Sensor] Updated distance: 28.08796289287878 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:51.074 (UTC)] info/application	[Sensor] Updated distance: 49.291325285700765 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:52.076 (UTC)] info/application	[Sensor] Updated distance: 6.631995285224167 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:53.078 (UTC)] info/application	[Sensor] Updated distance: 10.940932799568834 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:54.079 (UTC)] info/application	[Sensor] Updated distance: 13.662721944815814 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:55.071 (UTC)] info/application	[Sensor] Updated distance: 29.303532665271092 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:56.072 (UTC)] info/application	[Sensor] Updated distance: 15.904584593095157 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:57.074 (UTC)] info/application	[Sensor] Updated distance: 29.54610934646153 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:58.076 (UTC)] info/application	[Sensor] Updated distance: 17.74047724890545 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:36:59.077 (UTC)] info/application	[Sensor] Updated distance: 21.639363342728167 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:00.078 (UTC)] info/application	[Sensor] Updated distance: 8.540821182793389 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:01.079 (UTC)] info/application	[Sensor] Updated distance: 8.4289660707251 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:02.070 (UTC)] info/application	[Sensor] Updated distance: 3.396250747794402 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:03.072 (UTC)] info/application	[Sensor] Updated distance: 30.095585702031656 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:04.073 (UTC)] info/application	[Sensor] Updated distance: 33.639077491890205 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:05.074 (UTC)] info/application	[Sensor] Updated distance: 40.32850979563245 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:06.076 (UTC)] info/application	[Sensor] Updated distance: 7.453276510095818 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:07.077 (UTC)] info/application	[Sensor] Updated distance: 13.631619607858182 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:08.078 (UTC)] info/application	[Sensor] Updated distance: 38.273121582471354 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:09.071 (UTC)] info/application	[Sensor] Updated distance: 14.683857536261835 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:10.073 (UTC)] info/application	[Sensor] Updated distance: 47.935721336834 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:11.073 (UTC)] info/application	[Sensor] Updated distance: 34.41611080636089 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:12.075 (UTC)] info/application	[Sensor] Updated distance: 26.676099565194964 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:13.076 (UTC)] info/application	[Sensor] Updated distance: 42.71313536572882 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:14.077 (UTC)] info/application	[Sensor] Updated distance: 46.39553574304819 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:15.078 (UTC)] info/application	[Sensor] Updated distance: 33.30813807216852 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:16.070 (UTC)] info/application	[Sensor] Updated distance: 38.37387453968351 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:17.072 (UTC)] info/application	[Sensor] Updated distance: 15.945991440651003 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:18.073 (UTC)] info/application	[Sensor] Updated distance: 41.0888047847379 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:19.075 (UTC)] info/application	[Sensor] Updated distance: 21.808402994558403 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:20.077 (UTC)] info/application	[Sensor] Updated distance: 33.971370823668025 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:21.071 (UTC)] info/application	[Sensor] Updated distance: 19.176767655264943 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:22.073 (UTC)] info/application	[Sensor] Updated distance: 21.099728257907426 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:23.076 (UTC)] info/application	[Sensor] Updated distance: 38.60336610889219 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:24.077 (UTC)] info/application	[Sensor] Updated distance: 28.117700454833777 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:25.078 (UTC)] info/application	[Sensor] Updated distance: 32.762450225074986 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:26.079 (UTC)] info/application	[Sensor] Updated distance: 17.906898774163285 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:27.071 (UTC)] info/application	[Sensor] Updated distance: 42.02228504792893 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:28.074 (UTC)] info/application	[Sensor] Updated distance: 12.308559549184777 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:29.071 (UTC)] info/application	[Sensor] Updated distance: 33.64737602306873 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:30.074 (UTC)] info/application	[Sensor] Updated distance: 13.661648368305363 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:31.075 (UTC)] info/application	[Sensor] Updated distance: 18.849380754329907 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:32.078 (UTC)] info/application	[Sensor] Updated distance: 40.07634209379383 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:33.079 (UTC)] info/application	[Sensor] Updated distance: 15.057899116099764 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:34.070 (UTC)] info/application	[Sensor] Updated distance: 46.94496645636156 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:35.072 (UTC)] info/application	[Sensor] Updated distance: 23.7154195633323 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:36.073 (UTC)] info/application	[Sensor] Updated distance: 5.3864088893804745 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:37.074 (UTC)] info/application	[Sensor] Updated distance: 4.398242966457383 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:38.077 (UTC)] info/application	[Sensor] Updated distance: 35.34703919354222 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:39.078 (UTC)] info/application	[Sensor] Updated distance: 41.65953049420357 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:40.070 (UTC)] info/application	[Sensor] Updated distance: 17.082100502719218 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:41.071 (UTC)] info/application	[Sensor] Updated distance: 33.28276050802448 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:42.072 (UTC)] info/application	[Sensor] Updated distance: 26.07564127821272 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:43.075 (UTC)] info/application	[Sensor] Updated distance: 41.75820006791418 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:44.076 (UTC)] info/application	[Sensor] Updated distance: 25.995895873753305 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:45.079 (UTC)] info/application	[Sensor] Updated distance: 22.47117699890918 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:46.071 (UTC)] info/application	[Sensor] Updated distance: 25.06633811773096 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:47.073 (UTC)] info/application	[Sensor] Updated distance: 14.369770391085078 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:48.075 (UTC)] info/application	[Sensor] Updated distance: 36.41716843956018 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:49.077 (UTC)] info/application	[Sensor] Updated distance: 16.15514288011712 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:50.078 (UTC)] info/application	[Sensor] Updated distance: 34.17817338564348 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:51.070 (UTC)] info/application	[Sensor] Updated distance: 20.388539263228203 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:52.072 (UTC)] info/application	[Sensor] Updated distance: 33.331910535382065 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:53.072 (UTC)] info/application	[Sensor] Updated distance: 5.2779016435509085 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:54.073 (UTC)] info/application	[Sensor] Updated distance: 8.991905349768654 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:55.074 (UTC)] info/application	[Sensor] Updated distance: 11.449610967864102 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:56.075 (UTC)] info/application	[Sensor] Updated distance: 36.04035186862589 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:57.077 (UTC)] info/application	[Sensor] Updated distance: 24.89880412393194 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:58.079 (UTC)] info/application	[Sensor] Updated distance: 3.4718959934412945 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:37:59.073 (UTC)] info/application	[Sensor] Updated distance: 46.34891141781067 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:00.075 (UTC)] info/application	[Sensor] Updated distance: 8.54618012464893 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:01.078 (UTC)] info/application	[Sensor] Updated distance: 15.133544361746656 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:02.071 (UTC)] info/application	[Sensor] Updated distance: 15.198292149788836 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:03.073 (UTC)] info/application	[Sensor] Updated distance: 46.6225222407945 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:04.075 (UTC)] info/application	[Sensor] Updated distance: 28.19144350019816 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:05.078 (UTC)] info/application	[Sensor] Updated distance: 12.1432586061504 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:06.070 (UTC)] info/application	[Sensor] Updated distance: 20.337941781775065 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:07.072 (UTC)] info/application	[Sensor] Updated distance: 31.577852389578638 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:08.072 (UTC)] info/application	[Sensor] Updated distance: 14.541501572607784 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:09.074 (UTC)] info/application	[Sensor] Updated distance: 5.684980952965552 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:10.075 (UTC)] info/application	[Sensor] Updated distance: 23.23738286143047 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:11.077 (UTC)] info/application	[Sensor] Updated distance: 29.623602075327 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:12.080 (UTC)] info/application	[Sensor] Updated distance: 36.96774148334178 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:13.071 (UTC)] info/application	[Sensor] Updated distance: 47.31302413964319 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:14.073 (UTC)] info/application	[Sensor] Updated distance: 21.381802120889443 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:15.075 (UTC)] info/application	[Sensor] Updated distance: 12.963637334743344 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:16.077 (UTC)] info/application	[Sensor] Updated distance: 19.784201138552373 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:17.078 (UTC)] info/application	[Sensor] Updated distance: 44.448140260972146 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:18.079 (UTC)] info/application	[Sensor] Updated distance: 25.333407725828422 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:19.080 (UTC)] info/application	[Sensor] Updated distance: 6.201369555760812 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:20.071 (UTC)] info/application	[Sensor] Updated distance: 10.603283118737528 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:21.073 (UTC)] info/application	[Sensor] Updated distance: 9.511581089120163 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:22.074 (UTC)] info/application	[Sensor] Updated distance: 24.589908818989016 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:23.076 (UTC)] info/application	[Sensor] Updated distance: 41.935193676471336 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:24.078 (UTC)] info/application	[Sensor] Updated distance: 12.789482732671072 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:25.071 (UTC)] info/application	[Sensor] Updated distance: 31.581814191109412 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:26.071 (UTC)] info/application	[Sensor] Updated distance: 3.384804621983694 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:27.072 (UTC)] info/application	[Sensor] Updated distance: 46.829834601296966 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:28.073 (UTC)] info/application	[Sensor] Updated distance: 6.480618292689611 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:29.074 (UTC)] info/application	[Sensor] Updated distance: 4.856700637776731 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:30.074 (UTC)] info/application	[Sensor] Updated distance: 43.178746019107635 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:31.076 (UTC)] info/application	[Sensor] Updated distance: 13.026798439690284 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:32.077 (UTC)] info/application	[Sensor] Updated distance: 17.990244999523387 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:33.079 (UTC)] info/application	[Sensor] Updated distance: 8.37703814654473 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:34.071 (UTC)] info/application	[Sensor] Updated distance: 9.64932065813305 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:35.073 (UTC)] info/application	[Sensor] Updated distance: 44.18168849972155 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:36.075 (UTC)] info/application	[Sensor] Updated distance: 18.52029675269513 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:37.078 (UTC)] info/application	[Sensor] Updated distance: 27.987262439908115 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:38.078 (UTC)] info/application	[Sensor] Updated distance: 25.75954088930019 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:39.079 (UTC)] info/application	[Sensor] Updated distance: 31.061798325302917 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:40.071 (UTC)] info/application	[Sensor] Updated distance: 31.67224341522541 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:41.071 (UTC)] info/application	[Sensor] Updated distance: 46.99692375073066 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:42.073 (UTC)] info/application	[Sensor] Updated distance: 10.685400378278176 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:43.074 (UTC)] info/application	[Sensor] Updated distance: 18.63998487621545 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:44.076 (UTC)] info/application	[Sensor] Updated distance: 44.30994789037385 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:45.078 (UTC)] info/application	[Sensor] Updated distance: 30.067202521519363 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:46.070 (UTC)] info/application	[Sensor] Updated distance: 29.603622210958797 cm | Severity=75 | SourceName=Sensor3 | EventType=application
[2026-08-11 15:38:47.073 (UTC)] info/application	[Sensor] Updated distance: 14.094149006574483 cm | Severity=75 | SourceName=Sensor3 | EventType=application
